shift [ppm],Intensity [au]
213.82433,-21.156
213.81704,-106.816
213.80975,-62.228
213.80246,-134.912
213.79517,101.048
213.78788,119.196
213.78059,36.208
213.77331,-10.822
213.76602,26.06
213.75873,8.523
213.75144,29.771
213.74415,76.83
213.73686,33.568
213.72957,-83.658
213.72228,-91.771
213.715,-155.324
213.70771,-129.375
213.70042,-259.821
213.69313,-199.457
213.68584,-50.953
213.67855,-73.238
213.67126,27.139
213.66398,-1.886
213.65669,-9.133
213.6494,1.591
213.64211,-17.33
213.63482,-65.579
213.62753,-77.102
213.62024,-80.566
213.61295,-50.881
213.60567,187.172
213.59838,219.316
213.59109,346.181
213.5838,306.048
213.57651,192.371
213.56922,213.404
213.56193,303.589
213.55464,276.936
213.54736,167.305
213.54007,177.454
213.53278,127.232
213.52549,-40.148
213.5182,139.484
213.51091,56.63
213.50362,26.248
213.49633,26.792
213.48905,-54.523
213.48176,-34.639
213.47447,-84.497
213.46718,-80.071
213.45989,-125.469
213.4526,-225.966
213.44531,-121.307
213.43802,-123.156
213.43074,-308.177
213.42345,-189.009
213.41616,-196.072
213.40887,-349.055
213.40158,-124.56
213.39429,92.126
213.387,61.626
213.37971,120.559
213.37243,96.573
213.36514,-74.082
213.35785,-250.864
213.35056,-221.847
213.34327,-231.308
213.33598,-130.373
213.32869,-11.175
213.32141,54.64
213.31412,29.464
213.30683,1.607
213.29954,17.379
213.29225,3.428
213.28496,59.209
213.27767,-51.357
213.27038,-84.017
213.2631,-70.814
213.25581,-47.648
213.24852,-113.629
213.24123,-6.362
213.23394,-312.511
213.22665,-236.182
213.21936,-194.467
213.21207,-58.418
213.20479,-18.663
213.1975,72.578
213.19021,53.154
213.18292,40.014
213.17563,-216.427
213.16834,-88.168
213.16105,-8.42
213.15376,153.827
213.14648,208.083
213.13919,24.496
213.1319,-245.408
213.12461,-213.304
213.11732,-94.305
213.11003,-24.816
213.10274,-88.441
213.09545,-184.234
213.08817,-203.228
213.08088,-208.25
213.07359,-90.738
213.0663,-53.588
213.05901,-118.563
213.05172,-150.557
213.04443,-128.013
213.03714,-53.087
213.02986,-132.795
213.02257,-64.183
213.01528,11.041
213.00799,-93.636
213.0007,16.202
212.99341,43.086
212.98612,-139.727
212.97884,-132.187
212.97155,-75.321
212.96426,-9.336
212.95697,59.69
212.94968,-34.864
212.94239,28.397
212.9351,50.313
212.92781,-49.929
212.92053,-38.192
212.91324,-0.945
212.90595,10.548
212.89866,-48.314
212.89137,12.264
212.88408,124.38
212.87679,106.747
212.8695,107.306
212.86222,71.383
212.85493,42.657
212.84764,98.988
212.84035,-44.266
212.83306,-79.684
212.82577,-36.742
212.81848,-22.913
212.81119,95.291
212.80391,147.619
212.79662,64.702
212.78933,116.838
212.78204,224.405
212.77475,171.11
212.76746,83.808
212.76017,78.634
212.75288,89.149
212.7456,94.835
212.73831,53.404
212.73102,-12.189
212.72373,-20.715
212.71644,-85.1
212.70915,-76.125
212.70186,-72.776
212.69457,-106.323
212.68729,-59.463
212.68,-109.141
212.67271,-71.506
212.66542,102.264
212.65813,196.087
212.65084,162.604
212.64355,228.545
212.63626,207.565
212.62898,80.038
212.62169,150.717
212.6144,190.035
212.60711,175.327
212.59982,47.723
212.59253,4.121
212.58524,139.12
212.57796,56.59
212.57067,40.536
212.56338,100.966
212.55609,203.398
212.5488,135.382
212.54151,58.74
212.53422,-152.548
212.52693,-171.398
212.51965,-113.345
212.51236,-80.367
212.50507,-113.763
212.49778,-187.836
212.49049,-24.046
212.4832,102.926
212.47591,57.554
212.46862,-47.951
212.46134,-186.146
212.45405,-243.502
212.44676,-204.316
212.43947,-72.42
212.43218,-116.27
212.42489,-133.761
212.4176,-97.16
212.41031,-116.293
212.40303,-62.109
212.39574,-128.151
212.38845,-64.673
212.38116,-32.574
212.37387,-293.089
212.36658,-225.904
212.35929,-70.747
212.352,6.375
212.34472,184.035
212.33743,114.539
212.33014,-22.874
212.32285,16.578
212.31556,-81.155
212.30827,-140.342
212.30098,-110.017
212.29369,-59.558
212.28641,-19.957
212.27912,151.292
212.27183,109.392
212.26454,5.008
212.25725,-56.307
212.24996,58.553
212.24267,74.25
212.23539,99.597
212.2281,160.256
212.22081,90.469
212.21352,117.374
212.20623,-20.415
212.19894,31.577
212.19165,103.497
212.18436,19.934
212.17708,6.895
212.16979,24.581
212.1625,70.271
212.15521,108.687
212.14792,159.448
212.14063,165.088
212.13334,218.725
212.12605,221.698
212.11877,132.553
212.11148,89.31
212.10419,120.033
212.0969,295.581
212.08961,6.676
212.08232,122.398
212.07503,207.851
212.06774,80.866
212.06046,56.984
212.05317,33.073
212.04588,-106.777
212.03859,-51.337
212.0313,-50.92
212.02401,60.903
212.01672,85.942
212.00943,151.913
212.00215,194.43
211.99486,74.746
211.98757,-193.502
211.98028,-243.082
211.97299,-133.61
211.9657,-290.711
211.95841,-192.069
211.95112,-132.496
211.94384,-132.538
211.93655,-14.097
211.92926,-68.199
211.92197,54.322
211.91468,50.697
211.90739,5.038
211.9001,16.411
211.89282,-32.6
211.88553,-111.417
211.87824,13.195
211.87095,312.942
211.86366,321.662
211.85637,221.983
211.84908,240.437
211.84179,205.712
211.83451,124.703
211.82722,57.619
211.81993,101.15
211.81264,33.565
211.80535,9.802
211.79806,21.886
211.79077,23.84
211.78348,154.198
211.7762,186.836
211.76891,65.383
211.76162,-86.87
211.75433,-6.727
211.74704,233.28
211.73975,164.871
211.73246,213.235
211.72517,129.597
211.71789,56.15
211.7106,-31.307
211.70331,-28.99
211.69602,-92.91
211.68873,-84.079
211.68144,-144.859
211.67415,-269.655
211.66686,-314.875
211.65958,-30.466
211.65229,42.656
211.645,-137.886
211.63771,-38.49
211.63042,9.68
211.62313,37.993
211.61584,-129.609
211.60855,-122.772
211.60127,-116.517
211.59398,-162.404
211.58669,-36.904
211.5794,146.287
211.57211,127.614
211.56482,33.184
211.55753,80.094
211.55024,-48.045
211.54296,-187.971
211.53567,-105.467
211.52838,-49.482
211.52109,-176.642
211.5138,-329.078
211.50651,-83.147
211.49922,-72.547
211.49194,-60.545
211.48465,-225.309
211.47736,-211.719
211.47007,-142.87
211.46278,98.58
211.45549,49.318
211.4482,-25.784
211.44091,-54.238
211.43363,-74.061
211.42634,-131.898
211.41905,-204.695
211.41176,-150.235
211.40447,-241.868
211.39718,-310.141
211.38989,-225.296
211.3826,-227.227
211.37532,-294.377
211.36803,-91.782
211.36074,-90.503
211.35345,-206.501
211.34616,-209.896
211.33887,-30.345
211.33158,-112.595
211.32429,-58.391
211.31701,-55.481
211.30972,-108.178
211.30243,-129.933
211.29514,-62.709
211.28785,-70.022
211.28056,-213.139
211.27327,-236.982
211.26598,-24.689
211.2587,-72.292
211.25141,-74.339
211.24412,72.149
211.23683,-136.551
211.22954,-273.299
211.22225,-253.242
211.21496,-190.989
211.20767,-121.966
211.20039,-56.431
211.1931,-62.136
211.18581,14.279
211.17852,238.293
211.17123,144.13
211.16394,49.427
211.15665,83.397
211.14937,205.339
211.14208,165.045
211.13479,-78.789
211.1275,-1.686
211.12021,146.889
211.11292,169.811
211.10563,-9.073
211.09834,154.445
211.09106,300.194
211.08377,118.983
211.07648,101.748
211.06919,-78.054
211.0619,-144.252
211.05461,-89.898
211.04732,-34.087
211.04003,-316.57
211.03275,-476.175
211.02546,-252.475
211.01817,-116.934
211.01088,-116.615
211.00359,-157.133
210.9963,-139.35
210.98901,-75.869
210.98172,-51.153
210.97444,-87.812
210.96715,-85.688
210.95986,48.166
210.95257,-24.715
210.94528,-129.287
210.93799,12.646
210.9307,9.216
210.92341,117.223
210.91613,118.312
210.90884,145.707
210.90155,252.985
210.89426,279.126
210.88697,278.178
210.87968,110.484
210.87239,-35.891
210.8651,5.295
210.85782,-12.408
210.85053,-47.677
210.84324,-182.068
210.83595,-123.943
210.82866,-155.462
210.82137,-139.945
210.81408,-209.956
210.8068,-222.654
210.79951,-344.074
210.79222,-168.746
210.78493,37.669
210.77764,-6.596
210.77035,-99.048
210.76306,-174.649
210.75577,-108.695
210.74849,-59.668
210.7412,-152.209
210.73391,-82.949
210.72662,-167.828
210.71933,-99.408
210.71204,-143.333
210.70475,-128.937
210.69746,-233.208
210.69018,-142.392
210.68289,-132.49
210.6756,-8.831
210.66831,11.373
210.66102,-22.968
210.65373,57.654
210.64644,172.676
210.63915,-6.171
210.63187,-62.466
210.62458,-54.365
210.61729,-74.147
210.61,-112.87
210.60271,110.765
210.59542,-90.312
210.58813,-281.928
210.58084,-157.068
210.57356,-145.128
210.56627,-150.38
210.55898,19.901
210.55169,79.957
210.5444,153.511
210.53711,139.439
210.52982,186.378
210.52253,-151.537
210.51525,-221.234
210.50796,-167.357
210.50067,47.294
210.49338,-70.101
210.48609,-65.91
210.4788,309.424
210.47151,288.943
210.46422,-66.451
210.45694,-251.17
210.44965,-110.793
210.44236,-35.176
210.43507,208.314
210.42778,93.811
210.42049,-79.414
210.4132,-1.325
210.40592,162.016
210.39863,120.826
210.39134,112.672
210.38405,94.853
210.37676,40.142
210.36947,38.062
210.36218,177.692
210.35489,144.136
210.34761,74.341
210.34032,-74.687
210.33303,-84.596
210.32574,-14.939
210.31845,-97.515
210.31116,-62.958
210.30387,-152.794
210.29658,-115.1
210.2893,59.257
210.28201,8.19
210.27472,-139.21
210.26743,15.204
210.26014,-37.648
210.25285,-191.639
210.24556,-337.487
210.23827,-332.403
210.23099,-258.133
210.2237,-98.392
210.21641,-18.57
210.20912,-29.937
210.20183,-160.304
210.19454,-156.04
210.18725,58.667
210.17996,115.655
210.17268,181.376
210.16539,212.452
210.1581,97.829
210.15081,-43.147
210.14352,66.986
210.13623,159.349
210.12894,54.921
210.12165,-126.061
210.11437,-81.905
210.10708,-90.417
210.09979,-11.522
210.0925,27.165
210.08521,71.293
210.07792,174.728
210.07063,50.167
210.06335,-90.904
210.05606,-29.237
210.04877,199.729
210.04148,108.937
210.03419,181.373
210.0269,290.598
210.01961,232.988
210.01232,-57.614
210.00504,-125.301
209.99775,9.598
209.99046,-20.334
209.98317,-55.857
209.97588,-66.019
209.96859,-110.72
209.9613,-13.245
209.95401,55.735
209.94673,39.336
209.93944,2.854
209.93215,-5.129
209.92486,64.235
209.91757,36.224
209.91028,84.071
209.90299,188.433
209.8957,110.725
209.88842,229.359
209.88113,208.911
209.87384,204.766
209.86655,71.326
209.85926,-67.983
209.85197,17.324
209.84468,39.651
209.83739,-16.691
209.83011,-49.499
209.82282,-124.838
209.81553,-176.227
209.80824,-170.952
209.80095,-6.854
209.79366,-132.015
209.78637,-160.911
209.77908,-163.195
209.7718,-81.729
209.76451,-69.208
209.75722,-7.884
209.74993,-174.187
209.74264,24.331
209.73535,64.897
209.72806,22.347
209.72078,24.27
209.71349,-80.226
209.7062,153.388
209.69891,96.423
209.69162,33.819
209.68433,-15.84
209.67704,19.271
209.66975,-51.004
209.66247,-123.025
209.65518,-154.941
209.64789,-257.266
209.6406,-430.069
209.63331,-344.937
209.62602,-161.835
209.61873,-12.136
209.61144,60.581
209.60416,21.798
209.59687,138.665
209.58958,241.524
209.58229,282.685
209.575,412.517
209.56771,278.925
209.56042,158.506
209.55313,81.208
209.54585,46.032
209.53856,-27.062
209.53127,-138.551
209.52398,-143.343
209.51669,-113.062
209.5094,2.594
209.50211,-14.878
209.49482,-45.31
209.48754,25.645
209.48025,-81.046
209.47296,-136.747
209.46567,-50.053
209.45838,7.581
209.45109,185.266
209.4438,31.735
209.43651,124.099
209.42923,33.954
209.42194,160.949
209.41465,208.759
209.40736,232.08
209.40007,-44.846
209.39278,-70.639
209.38549,64.802
209.3782,-99.755
209.37092,-58.893
209.36363,-29.763
209.35634,-83.804
209.34905,-50.593
209.34176,94.701
209.33447,174.104
209.32718,-85.141
209.3199,-198.675
209.31261,-87.513
209.30532,-46.197
209.29803,-10.452
209.29074,7.425
209.28345,23.154
209.27616,105.466
209.26887,176.637
209.26159,162.35
209.2543,52.136
209.24701,75.244
209.23972,279.198
209.23243,323.915
209.22514,313.655
209.21785,104.914
209.21056,58.95
209.20328,101.985
209.19599,-28.327
209.1887,-148.796
209.18141,-195.896
209.17412,-212.059
209.16683,-149.938
209.15954,15.354
209.15225,84.919
209.14497,-125.486
209.13768,-185.912
209.13039,-123.315
209.1231,20.927
209.11581,-81.671
209.10852,-51.73
209.10123,75.651
209.09394,52.21
209.08666,27.6
209.07937,3.411
209.07208,-134.009
209.06479,-348.085
209.0575,-271.476
209.05021,-204.375
209.04292,-145.365
209.03563,-3.348
209.02835,-166.343
