T,Viscosity
5.520000000000000000e+02,1.075050247165354050e-01
5.530000000000000000e+02,1.069920634203508913e-01
5.540000000000000000e+02,1.064833883457278474e-01
5.550000000000000000e+02,1.059789516982031915e-01
5.560000000000000000e+02,1.054787063403185565e-01
5.570000000000000000e+02,1.049826057809638419e-01
5.580000000000000000e+02,1.044906041649185241e-01
5.590000000000000000e+02,1.040026562625881446e-01
5.600000000000000000e+02,1.035187174599293825e-01
5.610000000000000000e+02,1.030387437485630470e-01
5.620000000000000000e+02,1.025626917160676194e-01
5.630000000000000000e+02,1.020905185364522627e-01
5.640000000000000000e+02,1.016221819608045668e-01
5.650000000000000000e+02,1.011576403081089759e-01
5.660000000000000000e+02,1.006968524562340261e-01
5.670000000000000000e+02,1.002397778330815364e-01
5.680000000000000000e+02,9.978637640789937702e-02
5.690000000000000000e+02,9.933660868275015488e-02
5.700000000000000000e+02,9.889043568413428964e-02
5.710000000000000000e+02,9.844781895476460709e-02
5.720000000000000000e+02,9.800872054548917522e-02
5.730000000000000000e+02,9.757310300735927422e-02
5.740000000000000000e+02,9.714092938383910025e-02
5.750000000000000000e+02,9.671216320315519088e-02
5.760000000000000000e+02,9.628676847078232459e-02
5.770000000000000000e+02,9.586470966206279976e-02
5.780000000000000000e+02,9.544595171495767749e-02
5.790000000000000000e+02,9.503046002292531158e-02
5.800000000000000000e+02,9.461820042792701280e-02
5.810000000000000000e+02,9.420913921355528187e-02
5.820000000000000000e+02,9.380324309828294571e-02
5.830000000000000000e+02,9.340047922883139286e-02
5.840000000000000000e+02,9.300081517365489658e-02
5.850000000000000000e+02,9.260421891653819459e-02
5.860000000000000000e+02,9.221065885030695075e-02
5.870000000000000000e+02,9.182010377064636630e-02
5.880000000000000000e+02,9.143252287002794076e-02
5.890000000000000000e+02,9.104788573174137090e-02
5.900000000000000000e+02,9.066616232402956166e-02
5.910000000000000000e+02,9.028732299432409847e-02
5.920000000000000000e+02,8.991133846358201342e-02
5.930000000000000000e+02,8.953817982071689274e-02
5.940000000000000000e+02,8.916781851712768381e-02
5.950000000000000000e+02,8.880022636132030300e-02
5.960000000000000000e+02,8.843537551362030957e-02
5.970000000000000000e+02,8.807323848097735330e-02
5.980000000000000000e+02,8.771378811185530366e-02
5.990000000000000000e+02,8.735699759121202945e-02
