T,Viscosity
4.960000000000000000e+02,1.705371515922713688e-01
4.970000000000000000e+02,1.694995010367242871e-01
4.980000000000000000e+02,1.684722935101260477e-01
4.990000000000000000e+02,1.674553908457034612e-01
5.000000000000000000e+02,1.664486571099605683e-01
5.010000000000000000e+02,1.654519585603498044e-01
5.020000000000000000e+02,1.644651636038609033e-01
5.030000000000000000e+02,1.634881427565033629e-01
5.040000000000000000e+02,1.625207686036588550e-01
5.050000000000000000e+02,1.615629157612872568e-01
5.060000000000000000e+02,1.606144608379639627e-01
5.070000000000000000e+02,1.596752823977240221e-01
5.080000000000000000e+02,1.587452609237019197e-01
5.090000000000000000e+02,1.578242787825421822e-01
5.100000000000000000e+02,1.569122201895626068e-01
5.110000000000000000e+02,1.560089711746560637e-01
5.120000000000000000e+02,1.551144195489099764e-01
5.130000000000000000e+02,1.542284548719262682e-01
5.140000000000000000e+02,1.533509684198291756e-01
5.150000000000000000e+02,1.524818531539387234e-01
5.160000000000000000e+02,1.516210036901018965e-01
5.170000000000000000e+02,1.507683162686565825e-01
5.180000000000000000e+02,1.499236887250242067e-01
5.190000000000000000e+02,1.490870204609064942e-01
5.200000000000000000e+02,1.482582124160799208e-01
5.210000000000000000e+02,1.474371670407684798e-01
5.220000000000000000e+02,1.466237882685868243e-01
5.230000000000000000e+02,1.458179814900347759e-01
5.240000000000000000e+02,1.450196535265348696e-01
5.250000000000000000e+02,1.442287126049986157e-01
5.260000000000000000e+02,1.434450683329106524e-01
5.270000000000000000e+02,1.426686316739165516e-01
5.280000000000000000e+02,1.418993149239063944e-01
5.290000000000000000e+02,1.411370316875786013e-01
5.300000000000000000e+02,1.403816968554777167e-01
5.310000000000000000e+02,1.396332265814910767e-01
5.320000000000000000e+02,1.388915382607980031e-01
5.330000000000000000e+02,1.381565505082578693e-01
5.340000000000000000e+02,1.374281831372290430e-01
5.350000000000000000e+02,1.367063571388101584e-01
5.360000000000000000e+02,1.359909946614901721e-01
5.370000000000000000e+02,1.352820189912044835e-01
5.380000000000000000e+02,1.345793545317809925e-01
5.390000000000000000e+02,1.338829267857739314e-01
5.400000000000000000e+02,1.331926623356703421e-01
5.410000000000000000e+02,1.325084888254690896e-01
5.420000000000000000e+02,1.318303349426149240e-01
5.430000000000000000e+02,1.311581304002888970e-01
5.440000000000000000e+02,1.304918059200397273e-01
5.450000000000000000e+02,1.298312932147538679e-01
5.460000000000000000e+02,1.291765249719532827e-01
5.470000000000000000e+02,1.285274348374183806e-01
5.480000000000000000e+02,1.278839573991219503e-01
5.490000000000000000e+02,1.272460281714763719e-01
5.500000000000000000e+02,1.266135835798781195e-01
5.510000000000000000e+02,1.259865609455513846e-01
5.520000000000000000e+02,1.253648984706775271e-01
5.530000000000000000e+02,1.247485352238094924e-01
5.540000000000000000e+02,1.241374111255619805e-01
5.550000000000000000e+02,1.235314669345727867e-01
5.560000000000000000e+02,1.229306442337289862e-01
5.570000000000000000e+02,1.223348854166520366e-01
5.580000000000000000e+02,1.217441336744386760e-01
5.590000000000000000e+02,1.211583329826481648e-01
5.600000000000000000e+02,1.205774280885344579e-01
5.610000000000000000e+02,1.200013644985154226e-01
5.620000000000000000e+02,1.194300884658769518e-01
5.630000000000000000e+02,1.188635469787032439e-01
5.640000000000000000e+02,1.183016877480324164e-01
5.650000000000000000e+02,1.177444591962308051e-01
5.660000000000000000e+02,1.171918104455805243e-01
5.670000000000000000e+02,1.166436913070786618e-01
5.680000000000000000e+02,1.161000522694403819e-01
5.690000000000000000e+02,1.155608444883043789e-01
5.700000000000000000e+02,1.150260197756356878e-01
5.710000000000000000e+02,1.144955305893205905e-01
5.720000000000000000e+02,1.139693300229522865e-01
5.730000000000000000e+02,1.134473717958006250e-01
5.740000000000000000e+02,1.129296102429630799e-01
5.750000000000000000e+02,1.124160003056952073e-01
5.760000000000000000e+02,1.119064975219145469e-01
5.770000000000000000e+02,1.114010580168737358e-01
5.780000000000000000e+02,1.108996384940037494e-01
5.790000000000000000e+02,1.104021962259185557e-01
5.800000000000000000e+02,1.099086890455815146e-01
5.810000000000000000e+02,1.094190753376292069e-01
5.820000000000000000e+02,1.089333140298482522e-01
5.830000000000000000e+02,1.084513645848050045e-01
5.840000000000000000e+02,1.079731869916224080e-01
5.850000000000000000e+02,1.074987417579016669e-01
5.860000000000000000e+02,1.070279899017869546e-01
5.870000000000000000e+02,1.065608929441685254e-01
5.880000000000000000e+02,1.060974129010242156e-01
5.890000000000000000e+02,1.056375122758932278e-01
5.900000000000000000e+02,1.051811540524821287e-01
5.910000000000000000e+02,1.047283016873995221e-01
5.920000000000000000e+02,1.042789191030165652e-01
5.930000000000000000e+02,1.038329706804521774e-01
5.940000000000000000e+02,1.033904212526786798e-01
5.950000000000000000e+02,1.029512360977465346e-01
5.960000000000000000e+02,1.025153809321264348e-01
5.970000000000000000e+02,1.020828219041654272e-01
5.980000000000000000e+02,1.016535255876547666e-01
5.990000000000000000e+02,1.012274589755089577e-01
